ds,yhat,yhat_lower,yhat_upper
1970-01-01,5.8660962701,5.684094681526558,6.047010778671921
1971-01-01,5.886388350956168,5.711541006404569,6.058085534310912
1972-01-01,5.906680431812337,5.726216995865076,6.090126146570348
1973-01-01,5.92702810833995,5.753891536472437,6.12097512665379
1974-01-01,5.947320190167626,5.768935821259319,6.139867754661505
1975-01-01,5.967612271995302,5.78239405815848,6.147273319798316
1976-01-01,5.987904308869268,5.808659059239975,6.1708490778217735
1977-01-01,6.008251940364807,5.835295184310655,6.1946579795644885
1978-01-01,6.156383191864196,5.98064644427869,6.334589232808666
1979-01-01,6.304514443363583,6.12337321506371,6.486770139733353
1980-01-01,6.452709357036463,6.272263166793071,6.628961969349186
1981-01-01,6.601310284166568,6.399932300671431,6.778886876594737
1982-01-01,6.74950519783457,6.572186803378579,6.922277245453701
1983-01-01,6.854246135012108,6.68412254141942,7.040071043615861
1984-01-01,6.958987072189647,6.773247319361379,7.1339535307792605
1985-01-01,6.913149256359036,6.742737863910093,7.092207257650859
1986-01-01,6.8674220669188655,6.686402265903953,7.040957449643073
1987-01-01,6.821694877478693,6.643027011640618,7.007415745606083
1988-01-01,6.775967688393011,6.603733448507941,6.949120062826972
1989-01-01,6.730115219337232,6.5550063214068555,6.9064856238306644
1990-01-01,6.828181764302571,6.639950940665861,7.008221268060919
1991-01-01,6.926248309267908,6.752469914279434,7.105124050376339
1992-01-01,7.024401887654049,6.849101349221484,7.208375361569902
1993-01-01,7.122824379279369,6.947994810198188,7.2998112746930985
1994-01-01,7.220977956993146,7.044948373158983,7.413779796100873
1995-01-01,7.3191004922192064,7.145724597430726,7.4960168314390305
1996-01-01,7.417223027445267,7.243960063961319,7.584227098972496
1997-01-01,7.443672071602329,7.263805067887191,7.623443886588414
1998-01-01,7.470048850611422,7.306036009064453,7.6528648084932
1999-01-01,7.395480655298205,7.219705170168494,7.578592141578715
2000-01-01,7.320717230827535,7.139947811616643,7.510232697565272
2001-01-01,7.245748975056945,7.0768153902957,7.433550726338393
2002-01-01,7.170985551304746,6.98463370705341,7.333052326390848
2003-01-01,7.096222127552547,6.920671072105442,7.2690307854345235
2004-01-01,7.140054466742567,6.952686383413331,7.310233780306307
2005-01-01,7.217764189258917,7.031394471916959,7.393621673918265
2006-01-01,7.295261590129045,7.119952508764406,7.477588372166949
2007-01-01,7.552328513102979,7.369987983424288,7.731080730911621
2008-01-01,7.80939543607691,7.621824953231426,7.989763134220641
2009-01-01,8.067166776538505,7.891513073094518,8.25028453043025
2010-01-01,8.32423382372015,8.138722479089223,8.516096691457564
2011-01-01,8.581300870412639,8.388992145426014,8.762895434235737
2012-01-01,8.838367917915159,8.656555936596398,9.01172851203349
2013-01-01,9.096139258698505,8.918698148088858,9.277644863350313
2014-01-01,9.581841632233328,9.401397072506853,9.761613584651178
2015-01-01,10.067544005768152,9.882091139179089,10.240098080425389
2016-01-01,10.553246379302974,10.37199800463865,10.734725603851642
2017-01-01,11.040279444272137,10.8412164531906,11.217682642639723
2018-01-01,11.525981817806962,11.357207905028934,11.721159671376805
2019-01-01,12.01168419134178,11.833613986230219,12.180679189678584
2020-01-01,12.497386564876605,12.314772904699497,12.661325493835932
2021-01-01,12.984419629845771,12.802099301721032,13.156318228542334
2022-01-01,13.470122003380594,13.291446461500144,13.645730052188942
2023-01-01,13.955824376915414,13.779501849580305,14.125761960014843
2024-01-01,14.441526750450237,14.261419096990691,14.612448002406051
2024-12-31,14.927229123985061,14.7292381448994,15.117487226292113
2025-12-31,15.41293149751988,15.221483134603396,15.608690826868859
2026-12-31,15.898633871054708,15.656067258547042,16.122157991602478
2027-12-31,16.384336244589523,16.065424763860996,16.689322914922922
2028-12-31,16.87136930955869,16.456063073868812,17.222036592066242
2029-12-31,17.357071683093512,16.854814691719604,17.799410766638605
2030-12-31,17.842774056628336,17.19696473750686,18.42301101551433
2031-12-31,18.32847643016316,17.53432558724668,19.001351327744636
2032-12-31,18.815509495132318,17.852000327380065,19.619181200173127
2033-12-31,19.30121186866715,18.202675907176534,20.240483304852038
