ds,yhat,yhat_lower,yhat_upper
1970-01-01,7.967774762152151,-12.926880101978698,27.751985932140308
1971-01-01,8.718361721399628,-11.751273708046822,29.04390788847351
1972-01-01,9.468948680647104,-11.649000446172554,29.776503826911455
1973-01-01,10.221592036457917,-9.665302248645544,31.142731052800848
1974-01-01,10.972178989657225,-9.860096240738036,30.79490287229636
1975-01-01,11.722765941464766,-8.51452102604524,31.930990543873236
1976-01-01,12.473352890496026,-7.057034436059741,30.83635962947112
1977-01-01,13.225996242127371,-5.369330965586034,33.08500408294627
1978-01-01,13.976583175859298,-5.702586219165486,34.147412186505456
1979-01-01,14.727170109591226,-5.142339362010374,34.381751924898246
1980-01-01,15.477621462028878,-5.718126190099395,36.092464335749504
1981-01-01,16.2301288455691,-2.889042111971504,36.22406266339427
1982-01-01,16.980580186258106,-2.02060676744633,36.073963109393524
1983-01-01,17.731031531875328,-3.620968547951372,38.17368955657379
1984-01-01,18.481482877492546,-0.5448840359769958,38.672811545941954
1985-01-01,19.233990260819635,-0.10239032390532359,39.276800688482965
1986-01-01,19.984441613044737,0.6750384877011499,40.63505764763318
1987-01-01,20.734892956266577,-0.13390848027610552,40.3300072274523
1988-01-01,21.485344299488414,2.182508426042036,39.75536732175824
1989-01-01,22.237851674049843,1.485350202237657,42.72278437255395
1990-01-01,22.98830303211023,4.169502948947237,44.86928388251643
1991-01-01,23.738754390170612,3.0035728782362185,45.10939233713333
1992-01-01,24.489295176641935,5.040104783544918,45.461232499391066
1993-01-01,25.241892239240578,4.364406639450375,44.27074352881066
1994-01-01,25.99280193625896,5.7437045475600765,48.037620168352845
1995-01-01,26.743711633277346,5.222709293954289,47.403793017040286
1996-01-01,27.495479385076663,9.196180404839774,48.219465903174786
1997-01-01,29.903328568636578,10.409591982009967,50.12588256787933
1998-01-01,32.30459892929059,11.947815795202214,53.09874316353486
1999-01-01,35.05923994235727,14.543086993301504,55.54374490819572
2000-01-01,37.81388095542394,18.054605203010556,59.111998347157716
2001-01-01,40.57639635504717,19.793260784159145,61.189963686563964
2002-01-01,43.33136389838726,24.426146685261102,62.95796301132255
2003-01-01,46.08652499903932,26.181681326935564,66.19000487628912
2004-01-01,48.841686098768776,28.323836068760723,68.36392638362413
2005-01-01,51.604395585072815,31.509661732352654,72.3476807001917
2006-01-01,54.35955668907558,34.598093498682736,73.16151047877999
2007-01-01,57.114717793078334,36.32524944913371,76.2153629163926
2008-01-01,59.86987885800367,39.61863874653847,80.26307962943314
2009-01-01,62.63258830940828,42.07609495846573,84.07186024068255
2010-01-01,65.38685303031482,44.029710563268765,85.81289200573937
2011-01-01,66.1401757194,44.45549795185026,84.61505059384142
2012-01-01,66.89349840848519,45.63489274051248,86.33842593318413
2013-01-01,67.64661222737476,47.43406961411229,86.75971585272985
2014-01-01,68.3976683582346,47.96927087085989,87.2591852799707
2015-01-01,69.14820074171122,48.87167211253909,88.46779803623286
2016-01-01,69.89873312518785,49.77377971535649,91.05396757935607
2017-01-01,70.65132176176988,49.65959316000993,89.70209159382077
2018-01-01,71.4018541452465,49.769262880526966,90.62247346044903
2019-01-01,72.15238652872313,52.55152822308248,92.55983556691197
2020-01-01,72.90291891219975,51.602541341127264,94.82412995987336
2021-01-01,73.65550754878178,54.7399688459257,94.91403902307144
2022-01-01,74.40603993225841,55.263673165570225,95.72765512053199
2023-01-01,75.15657231573502,55.50660037326309,95.53378213108695
2024-01-01,75.90710469921164,56.39653189437925,96.65756968878448
2025-01-01,76.65969333579369,54.89814738861488,95.29484627222564
2026-01-01,77.4102257192703,56.66171820097039,97.95002171994119
2026-12-31,78.15870184964152,57.91096643890137,98.75712414568407
2027-12-31,78.90923423311813,57.18401039932963,99.2529687023826
2028-12-31,79.66182286970017,58.973722697726664,99.20689857666248
2029-12-31,80.41235525317678,58.88960563302843,100.53323943885628
2030-12-31,81.16288763665341,59.68984184636196,102.30059845160483
2031-12-31,81.91342002013005,61.894416252403026,101.14872582725773
2032-12-31,82.66600865671207,61.70456655549729,102.79198381814136
2033-12-31,83.41654104018869,63.90832408968728,104.32128660897693
2034-12-31,84.16707342366531,62.84496437206435,106.07875987162082
2035-12-31,84.91760580714194,62.49953130433123,106.205785976246
